PAIS,MARCAS,PAIS_ORIGEN,MODELO,PRECIO,CAPACIDAD,COLOR,VENDIDO
China,Saic Motor,Vietnam,2008,Yuan Renminbi,Tundra,Crimson,1
China,Nissan,Yemen,1993,Yuan Renminbi,Yukon,Khaki,1
China,Tesla,Portugal,2006,Yuan Renminbi,F-250 Super Duty,Pink,1
China,Suzuki,Portugal,1995,Yuan Renminbi,Grand Caravan,Maroon,1
China,Suzuki,China,1994,Yuan Renminbi,88,Pink,1
China,Kia,Indonesia,2004,Yuan Renminbi,XC90,Goldenrod,1
China,General Motors,Indonesia,1994,Yuan Renminbi,Precis,Indigo,1
China,Nissan,Russia,1996,Yuan Renminbi,Stratus,Pink,1
China,Suzuki,Chile,1984,Yuan Renminbi,Corvette,Crimson,1
South Korea,Kia,Sweden,2011,Won,CR-V,Fuscia,1
China,Kia,France,2005,Yuan Renminbi,RAV4,Blue,1
China,Suzuki,Armenia,1989,Yuan Renminbi,Cougar,Puce,1
China,Tesla,Poland,1992,Yuan Renminbi,Precis,Goldenrod,1
China,Nissan,Portugal,2002,Yuan Renminbi,XL-7,Maroon,1
China,Nissan,Colombia,2004,Yuan Renminbi,Ion,Khaki,1
China,Tesla,China,2010,Yuan Renminbi,Type-1h,Purple,1
China,Nissan,Greece,2007,Yuan Renminbi,Phantom,Fuscia,1
China,Build Your Dream,China,1994,Yuan Renminbi,H1,Pink,1
China,Saic Motor,China,2000,Yuan Renminbi,Sierra 1500,Violet,1
China,Chirey,Malawi,2007,Yuan Renminbi,Suburban,Turquoise,1
China,Saic Motor,Brazil,1996,Yuan Renminbi,Esprit,Red,1
China,Kia,China,1998,Yuan Renminbi,Diamante,Puce,1
China,Tesla,Philippines,2005,Yuan Renminbi,Liberty,Violet,1
United States,Nissan,China,2007,Dollar,Sedona,Turquoise,1
China,Build Your Dream,Indonesia,1999,Yuan Renminbi,Land Cruiser,Crimson,1
China,General Motors,China,2012,Yuan Renminbi,C70,Khaki,1
China,Tesla,Indonesia,2007,Yuan Renminbi,F150,Purple,1
United States,Suzuki,Indonesia,2006,Dollar,XL7,Red,1
China,General Motors,Cameroon,2009,Yuan Renminbi,Continental GT,Fuscia,1
United States,Tesla,China,2000,Dollar,RAV4,Green,1
China,Nissan,Jamaica,1992,Yuan Renminbi,164,Indigo,1
China,Tesla,China,1997,Yuan Renminbi,S-Class,Khaki,1
China,Chirey,China,1997,Yuan Renminbi,VS Commodore,Aquamarine,1
United States,Build Your Dream,Peru,2001,Dollar,Montero,Khaki,1
China,Chirey,Philippines,2005,Yuan Renminbi,Murano,Maroon,1
China,Otros,Vietnam,1993,Yuan Renminbi,Paseo,Orange,1
China,Suzuki,Thailand,1960,Yuan Renminbi,Fillmore,Pink,1
China,Otros,Colombia,2008,Yuan Renminbi,G-Class,Violet,1
China,Build Your Dream,Syria,1997,Yuan Renminbi,Celica,Orange,1
China,Build Your Dream,Czech Republic,1992,Yuan Renminbi,Corolla,Purple,1
China,Nissan,Russia,2006,Yuan Renminbi,Azera,Aquamarine,1
United States,Build Your Dream,Latvia,1992,Dollar,S-Class,Indigo,1
China,General Motors,Greece,2000,Yuan Renminbi,V40,Mauv,1
China,Nissan,Indonesia,2011,Yuan Renminbi,Express 2500,Green,1
China,Suzuki,China,1999,Yuan Renminbi,911,Goldenrod,1
China,Saic Motor,Indonesia,2003,Yuan Renminbi,Tacoma,Turquoise,1
China,Otros,China,2006,Yuan Renminbi,Titan,Green,1
China,Build Your Dream,Uganda,1994,Yuan Renminbi,Caravan,Fuscia,1
China,Otros,Russia,1989,Yuan Renminbi,B-Series,Orange,1
United States,Nissan,China,1997,Dollar,Mountaineer,Yellow,1
China,Otros,Brazil,1998,Yuan Renminbi,Grand Voyager,Indigo,1
China,Suzuki,Brazil,2007,Yuan Renminbi,Forester,Mauv,1
China,Otros,United States,2010,Yuan Renminbi,Murano,Orange,1
China,Nissan,South Africa,2002,Yuan Renminbi,Legacy,Indigo,1
China,Saic Motor,France,1996,Yuan Renminbi,Aerostar,Puce,1
China,Nissan,Philippines,1991,Yuan Renminbi,300ZX,Purple,1
China,Suzuki,China,1999,Yuan Renminbi,Hombre,Violet,1
China,Saic Motor,Philippines,1989,Yuan Renminbi,Legend,Purple,1
United States,Tesla,Philippines,2008,Dollar,X5,Orange,1
China,Kia,Philippines,1998,Yuan Renminbi,Venture,Crimson,1
United States,Suzuki,United States,2006,Dollar,Relay,Turquoise,1
China,Nissan,Argentina,2005,Yuan Renminbi,Sentra,Red,1
China,Kia,Sweden,1990,Yuan Renminbi,Coachbuilder,Yellow,1
China,Tesla,Indonesia,1994,Yuan Renminbi,928,Indigo,1
China,Tesla,Pakistan,2010,Yuan Renminbi,LR4,Puce,1
China,Otros,China,1995,Yuan Renminbi,GTO,Green,1
China,Chirey,Guinea,2003,Yuan Renminbi,Corvette,Teal,1
China,Nissan,Djibouti,2005,Yuan Renminbi,L-Series,Pink,1
China,Build Your Dream,Uganda,2011,Yuan Renminbi,TT,Pink,1
China,General Motors,Lebanon,2011,Yuan Renminbi,Miata MX-5,Purple,1
China,Chirey,Malaysia,1998,Yuan Renminbi,Malibu,Teal,1
Germany,Suzuki,France,1995,Euro,928,Khaki,1
China,Saic Motor,Philippines,1995,Yuan Renminbi,Tracer,Mauv,1
China,Saic Motor,Russia,1995,Yuan Renminbi,Golf,Mauv,1
China,Suzuki,Brazil,2009,Yuan Renminbi,Sierra 2500,Purple,1
China,General Motors,Mexico,1999,Yuan Renminbi,Caravan,Purple,1
China,Nissan,Canada,2009,Yuan Renminbi,IS,Yellow,1
China,Saic Motor,Brazil,2009,Yuan Renminbi,XLR,Purple,1
China,Suzuki,China,2007,Yuan Renminbi,C-Class,Mauv,1
China,Saic Motor,Ireland,1996,Yuan Renminbi,Grand Voyager,Red,1
China,Build Your Dream,Poland,1993,Yuan Renminbi,Quest,Orange,1
China,Saic Motor,Philippines,1997,Yuan Renminbi,Firebird,Purple,1
China,Tesla,Bulgaria,2007,Yuan Renminbi,Murano,Goldenrod,1
China,General Motors,Philippines,1997,Yuan Renminbi,Catera,Orange,1
China,Nissan,Peru,2006,Yuan Renminbi,E-350 Super Duty,Indigo,1
China,Nissan,Serbia,2009,Yuan Renminbi,Expedition EL,Red,1
China,Nissan,Yemen,1986,Yuan Renminbi,6000,Fuscia,1
China,Nissan,Panama,2002,Yuan Renminbi,911,Blue,1
China,Suzuki,France,1993,Yuan Renminbi,Fleetwood,Yellow,1
China,Chirey,China,1999,Yuan Renminbi,Swift,Pink,1
China,Saic Motor,Comoros,2006,Yuan Renminbi,Golf,Blue,1
China,Otros,Poland,2003,Yuan Renminbi,Yukon,Pink,1
United States,Kia,Peru,1994,Dollar,Spirit,Crimson,1
South Korea,Kia,China,1993,Won,3 Series,Teal,1
China,Suzuki,China,2009,Yuan Renminbi,Town & Country,Goldenrod,1
China,Tesla,Indonesia,2010,Yuan Renminbi,C-Class,Turquoise,1
China,Kia,Ukraine,1992,Yuan Renminbi,1500,Blue,1
China,Tesla,China,2012,Yuan Renminbi,Cube,Fuscia,1
China,Saic Motor,Ukraine,1994,Yuan Renminbi,Town & Country,Pink,1
South Korea,Chirey,Poland,2003,Won,Sequoia,Maroon,1
China,Tesla,Vietnam,1983,Yuan Renminbi,6000,Maroon,1
China,Nissan,China,1993,Yuan Renminbi,SL-Class,Green,1
China,General Motors,Ireland,1999,Yuan Renminbi,Tiburon,Maroon,1
United States,General Motors,Argentina,1993,Dollar,3500,Yellow,1
China,Nissan,Uzbekistan,1986,Yuan Renminbi,Thunderbird,Violet,1
China,Otros,Japan,1992,Yuan Renminbi,Caprice,Yellow,1
China,Suzuki,Nicaragua,2012,Yuan Renminbi,Fiesta,Maroon,1
China,Otros,Poland,2005,Yuan Renminbi,Safari,Khaki,1
Germany,Saic Motor,Indonesia,2009,Euro,Sportage,Khaki,1
China,Chirey,Ghana,1998,Yuan Renminbi,Town Car,Crimson,1
China,General Motors,Poland,2002,Yuan Renminbi,Montero,Fuscia,1
China,Saic Motor,Ireland,2008,Yuan Renminbi,Azera,Khaki,1
China,Otros,Serbia,1990,Yuan Renminbi,911,Red,1
China,General Motors,Albania,2002,Yuan Renminbi,Liberty,Puce,1
China,Tesla,France,2012,Yuan Renminbi,Corvette,Aquamarine,1
China,Otros,China,2010,Yuan Renminbi,Rondo,Green,1
China,Otros,Croatia,1989,Yuan Renminbi,B2600,Goldenrod,1
China,Tesla,Afghanistan,2007,Yuan Renminbi,Expedition,Goldenrod,1
China,Nissan,Cameroon,1994,Yuan Renminbi,V8,Yellow,1
China,Kia,Indonesia,1994,Yuan Renminbi,Alcyone SVX,Blue,1
China,Tesla,Macedonia,1987,Yuan Renminbi,LTD Crown Victoria,Crimson,1
China,Nissan,Brazil,2008,Yuan Renminbi,TrailBlazer,Violet,1
China,Saic Motor,China,2010,Yuan Renminbi,Savana 3500,Goldenrod,1
China,Build Your Dream,Colombia,1993,Yuan Renminbi,Econoline E350,Puce,1
China,Suzuki,China,2002,Yuan Renminbi,Optima,Crimson,1
China,Nissan,Netherlands,2000,Yuan Renminbi,ES,Teal,1
China,Kia,Syria,2000,Yuan Renminbi,Dakota Club,Aquamarine,1
China,Otros,Colombia,2009,Yuan Renminbi,Silverado 1500,Mauv,1
China,Tesla,Russia,2001,Yuan Renminbi,9-3,Khaki,1
China,Tesla,China,1962,Yuan Renminbi,Avanti,Mauv,1
China,Suzuki,United States,1998,Yuan Renminbi,S-Class,Maroon,1
China,Saic Motor,China,2004,Yuan Renminbi,S4,Violet,1
China,Nissan,Thailand,2003,Yuan Renminbi,Town Car,Purple,1
China,Suzuki,China,2005,Yuan Renminbi,Sentra,Green,1
China,Suzuki,Kazakhstan,2008,Yuan Renminbi,B-Series,Yellow,1
China,General Motors,Indonesia,1998,Yuan Renminbi,riolet,Mauv,1
China,General Motors,China,1997,Yuan Renminbi,Explorer,Green,1
China,Kia,Peru,2011,Yuan Renminbi,Silverado 2500,Violet,1
China,General Motors,Colombia,2009,Yuan Renminbi,R8,Yellow,1
China,Build Your Dream,Japan,2000,Yuan Renminbi,Silverado 1500,Maroon,1
China,Suzuki,Brazil,2002,Yuan Renminbi,LS,Orange,1
China,Kia,Netherlands,2009,Yuan Renminbi,CTS-V,Yellow,1
China,Otros,Norway,1999,Yuan Renminbi,Ram 3500,Pink,1
China,Tesla,China,2004,Yuan Renminbi,9-5,Goldenrod,1
China,General Motors,Mexico,2003,Yuan Renminbi,Gallardo,Turquoise,1
China,Suzuki,Russia,1997,Yuan Renminbi,Eldorado,Purple,1
China,Nissan,Ukraine,2008,Yuan Renminbi,FJ Cruiser,Fuscia,1
China,Saic Motor,Bulgaria,1997,Yuan Renminbi,Miata MX-5,Mauv,1
China,Suzuki,France,1996,Yuan Renminbi,Viper,Pink,1
China,Kia,Mexico,2001,Yuan Renminbi,F-Series,Fuscia,1
China,Chirey,China,2004,Yuan Renminbi,F350,Puce,1
China,General Motors,Russia,2009,Yuan Renminbi,Wrangler,Yellow,1
China,Suzuki,Poland,2010,Yuan Renminbi,xD,Red,1
China,Kia,Czech Republic,2006,Yuan Renminbi,Canyon,Purple,1
China,Suzuki,China,2002,Yuan Renminbi,Yukon XL 2500,Aquamarine,1
China,Suzuki,China,2008,Yuan Renminbi,GranTurismo,Violet,1
China,Saic Motor,Russia,1994,Yuan Renminbi,MR2,Goldenrod,1
United States,Otros,Argentina,2006,Dollar,F150,Green,1
China,Build Your Dream,Pakistan,1992,Yuan Renminbi,Defender,Turquoise,1
China,General Motors,Brazil,1993,Yuan Renminbi,GTO,Maroon,1
China,Otros,France,1989,Yuan Renminbi,Century,Puce,1
China,Otros,Poland,2008,Yuan Renminbi,S80,Blue,1
China,Kia,China,2013,Yuan Renminbi,Panamera,Aquamarine,1
China,Suzuki,Indonesia,2011,Yuan Renminbi,M3,Puce,1
China,Build Your Dream,Russia,2000,Yuan Renminbi,Eldorado,Puce,1
China,Saic Motor,France,2001,Yuan Renminbi,E-Class,Aquamarine,1
China,Nissan,Indonesia,2011,Yuan Renminbi,Navigator,Goldenrod,1
China,Saic Motor,Sweden,2011,Yuan Renminbi,Outback,Pink,1
United States,Suzuki,Poland,1986,Dollar,Range Rover,Goldenrod,1
China,Saic Motor,Russia,2011,Yuan Renminbi,Yukon XL 1500,Turquoise,1
China,Nissan,China,2008,Yuan Renminbi,Raider,Purple,1
United States,Otros,Dominican Republic,2002,Dollar,Escort,Indigo,1
China,Otros,Ecuador,1987,Yuan Renminbi,Bronco II,Teal,1
China,Saic Motor,United States,2005,Yuan Renminbi,Suburban 2500,Yellow,1
Germany,Otros,Canada,1989,Euro,Countach,Violet,1
China,General Motors,China,2007,Yuan Renminbi,Durango,Orange,1
China,Otros,Australia,2011,Yuan Renminbi,Sprinter,Green,1
United States,Suzuki,Togo,2010,Dollar,Acadia,Green,1
China,Build Your Dream,Vietnam,2005,Yuan Renminbi,Continental,Pink,1
China,Kia,Russia,2010,Yuan Renminbi,Eos,Violet,1
China,Build Your Dream,South Korea,2006,Yuan Renminbi,TSX,Khaki,1
China,Tesla,China,2007,Yuan Renminbi,Sierra 3500,Blue,1
China,Suzuki,Sudan,2011,Yuan Renminbi,Escalade,Indigo,1
China,Saic Motor,Portugal,2005,Yuan Renminbi,Daewoo Lacetti,Purple,1
China,Tesla,Serbia,1999,Yuan Renminbi,Avalon,Crimson,1
China,Tesla,Chile,1994,Yuan Renminbi,Capri,Purple,1
China,Nissan,Canada,1992,Yuan Renminbi,Imperial,Yellow,1
China,Suzuki,Indonesia,1994,Yuan Renminbi,Blazer,Turquoise,1
China,Suzuki,Vietnam,2008,Yuan Renminbi,Continental GTC,Orange,1
China,Chirey,Dominican Republic,1996,Yuan Renminbi,Jetta,Indigo,1
China,Saic Motor,Poland,2005,Yuan Renminbi,Tundra,Purple,1
United States,Kia,Indonesia,2005,Dollar,Spectra,Khaki,1
China,Nissan,Poland,1996,Yuan Renminbi,VS Commodore,Violet,1
China,Tesla,Poland,2011,Yuan Renminbi,Tribute,Puce,1
China,Tesla,Portugal,2003,Yuan Renminbi,X-Type,Teal,1
Germany,Suzuki,China,1986,Euro,SL-Class,Khaki,1
China,Otros,Portugal,1992,Yuan Renminbi,1500,Violet,1
China,Chirey,Indonesia,2006,Yuan Renminbi,Corolla,Maroon,1
China,Kia,United States,2007,Yuan Renminbi,X5,Green,1
China,Suzuki,Brazil,1993,Yuan Renminbi,Festiva,Turquoise,1
China,Otros,Indonesia,1991,Yuan Renminbi,MX-6,Crimson,1
China,Nissan,Indonesia,2000,Yuan Renminbi,Alero,Purple,1
China,Suzuki,China,2000,Yuan Renminbi,F250,Blue,1
China,Kia,Indonesia,1992,Yuan Renminbi,7 Series,Goldenrod,1
China,Kia,China,2001,Yuan Renminbi,Esteem,Turquoise,1
United States,Build Your Dream,Mexico,2001,Dollar,Cavalier,Maroon,1
China,Nissan,Poland,1992,Yuan Renminbi,Spirit,Yellow,1
China,Build Your Dream,Russia,1995,Yuan Renminbi,Rally Wagon G2500,Puce,1
China,General Motors,Czech Republic,2004,Yuan Renminbi,Suburban 2500,Turquoise,1
China,Nissan,Indonesia,1987,Yuan Renminbi,Type 2,Mauv,1
China,Suzuki,South Africa,1961,Yuan Renminbi,Avanti,Puce,1
China,Otros,Greece,2009,Yuan Renminbi,Impala,Red,1
China,Saic Motor,China,2008,Yuan Renminbi,7 Series,Teal,1
China,Chirey,Ecuador,1997,Yuan Renminbi,3000GT,Fuscia,1
United States,Tesla,Philippines,1990,Dollar,Cougar,Indigo,1
China,Nissan,Indonesia,2011,Yuan Renminbi,Express 3500,Fuscia,1
China,Nissan,Japan,2009,Yuan Renminbi,Charger,Puce,1
China,Chirey,Russia,1990,Yuan Renminbi,GTO,Aquamarine,1
China,Kia,Ethiopia,2001,Yuan Renminbi,LeSabre,Goldenrod,1
China,Otros,Portugal,2006,Yuan Renminbi,Camry,Green,1
China,Kia,China,1980,Yuan Renminbi,Civic,Green,1
China,Build Your Dream,Panama,2008,Yuan Renminbi,M,Maroon,1
China,Chirey,Syria,2001,Yuan Renminbi,Galant,Crimson,1
China,Tesla,Indonesia,2007,Yuan Renminbi,LS,Khaki,1
China,Saic Motor,Indonesia,2007,Yuan Renminbi,Expedition EL,Blue,1
China,General Motors,Haiti,1993,Yuan Renminbi,Blazer,Purple,1
China,Build Your Dream,Czech Republic,1995,Yuan Renminbi,Sonoma,Fuscia,1
China,Saic Motor,Indonesia,1995,Yuan Renminbi,Sportage,Fuscia,1
China,General Motors,Indonesia,2005,Yuan Renminbi,Savana 1500,Turquoise,1
China,Build Your Dream,Colombia,2000,Yuan Renminbi,M5,Puce,1
China,Nissan,Russia,2008,Yuan Renminbi,Cobalt,Crimson,1
China,Kia,China,1999,Yuan Renminbi,GTI,Mauv,1
China,Build Your Dream,Canada,1985,Yuan Renminbi,Golf,Pink,1
China,Tesla,United States,1996,Yuan Renminbi,Breeze,Goldenrod,1
China,General Motors,Sweden,1998,Yuan Renminbi,RAV4,Khaki,1
China,Tesla,Indonesia,2011,Yuan Renminbi,Tahoe,Indigo,1
China,Kia,Brazil,1998,Yuan Renminbi,911,Violet,1
China,Chirey,France,1994,Yuan Renminbi,Grand Am,Blue,1
China,Chirey,Poland,2000,Yuan Renminbi,B-Series Plus,Green,1
China,Tesla,Nicaragua,1993,Yuan Renminbi,Wrangler,Puce,1
China,Nissan,Brazil,1988,Yuan Renminbi,Cabriolet,Yellow,1
Italy,Otros,China,2011,Euro,Highlander,Khaki,1
China,Otros,Indonesia,2002,Yuan Renminbi,Sentra,Goldenrod,1
China,Otros,Brazil,2008,Yuan Renminbi,Aveo,Maroon,1
China,Suzuki,China,1995,Yuan Renminbi,Safari,Blue,1
China,Saic Motor,Armenia,1959,Yuan Renminbi,600,Blue,1
China,Kia,Bangladesh,2012,Yuan Renminbi,S60,Aquamarine,1
China,General Motors,France,1993,Yuan Renminbi,Cabriolet,Red,1
China,Otros,Bolivia,2007,Yuan Renminbi,Escalade EXT,Khaki,1
United States,Suzuki,Thailand,2003,Dollar,Envoy XL,Puce,1
China,Nissan,Colombia,2004,Yuan Renminbi,Grand Marquis,Red,1
South Korea,Chirey,France,1968,Won,Grand Prix,Blue,1
China,General Motors,United States,1996,Yuan Renminbi,3 Series,Crimson,1
China,Suzuki,China,1996,Yuan Renminbi,3500,Red,1
China,Chirey,Russia,2012,Yuan Renminbi,ZDX,Puce,1
China,Chirey,Russia,2010,Yuan Renminbi,Edge,Yellow,1
China,Chirey,China,2006,Yuan Renminbi,Thunderbird,Red,1
China,General Motors,Canada,1993,Yuan Renminbi,del Sol,Yellow,1
China,Kia,Russia,2011,Yuan Renminbi,Silverado 2500,Teal,1
China,General Motors,Indonesia,2003,Yuan Renminbi,Venture,Goldenrod,1
China,General Motors,Czech Republic,2011,Yuan Renminbi,Armada,Fuscia,1
United States,Kia,Philippines,1997,Dollar,Grand Marquis,Red,1
China,Tesla,China,1998,Yuan Renminbi,Mustang,Turquoise,1
China,Kia,Colombia,2006,Yuan Renminbi,SC,Pink,1
China,Kia,Portugal,1992,Yuan Renminbi,Jimmy,Turquoise,1
China,Tesla,Japan,1994,Yuan Renminbi,Defender 90,Fuscia,1
China,Chirey,United States,1995,Yuan Renminbi,1500,Mauv,1
China,Chirey,China,2004,Yuan Renminbi,Range Rover,Teal,1
China,Otros,France,2009,Yuan Renminbi,Matrix,Fuscia,1
China,Kia,China,2011,Yuan Renminbi,Sonata,Green,1
China,Tesla,Belize,1992,Yuan Renminbi,Maxima,Mauv,1
China,Chirey,China,1986,Yuan Renminbi,Capri,Red,1
China,General Motors,France,2009,Yuan Renminbi,Malibu,Green,1
China,Suzuki,Poland,2004,Yuan Renminbi,Colorado,Crimson,1
China,Chirey,Russia,2008,Yuan Renminbi,Eclipse,Red,1
China,Chirey,United States,1998,Yuan Renminbi,2500,Pink,1
China,Tesla,Indonesia,2000,Yuan Renminbi,LHS,Crimson,1
China,Otros,South Korea,1987,Yuan Renminbi,L300,Blue,1
China,General Motors,Dominican Republic,1991,Yuan Renminbi,Firefly,Red,1
China,Otros,Belarus,2004,Yuan Renminbi,RX,Teal,1
China,General Motors,China,2001,Yuan Renminbi,Outback,Indigo,1
China,Suzuki,Indonesia,1999,Yuan Renminbi,Grand Am,Violet,1
China,Kia,Philippines,2005,Yuan Renminbi,G,Puce,1
China,Tesla,China,1992,Yuan Renminbi,SC,Purple,1
China,Chirey,Palestinian Territory,2011,Yuan Renminbi,Charger,Fuscia,1
China,Saic Motor,Lithuania,2001,Yuan Renminbi,Esprit,Maroon,1
China,Saic Motor,China,1986,Yuan Renminbi,LeSabre,Mauv,1
China,Chirey,Poland,1992,Yuan Renminbi,Wrangler,Khaki,1
China,Tesla,Dominican Republic,2002,Yuan Renminbi,B-Series,Mauv,1
China,Chirey,Brazil,2011,Yuan Renminbi,MKZ,Green,1
China,Build Your Dream,Nigeria,1997,Yuan Renminbi,Express 3500,Green,1
United States,Saic Motor,Mexico,1994,Dollar,SC,Puce,1
China,General Motors,Tanzania,2009,Yuan Renminbi,Savana 2500,Teal,1
China,Kia,Indonesia,1997,Yuan Renminbi,Altima,Goldenrod,1
China,Nissan,Japan,2002,Yuan Renminbi,Express 2500,Red,1
China,Build Your Dream,Czech Republic,1991,Yuan Renminbi,E-Class,Khaki,1
China,Chirey,Indonesia,2011,Yuan Renminbi,Land Cruiser,Green,1
China,Suzuki,Italy,1999,Yuan Renminbi,Range Rover,Crimson,1
China,Kia,Russia,2012,Yuan Renminbi,Express 2500,Purple,1
China,Suzuki,Malaysia,2009,Yuan Renminbi,Savana,Khaki,1
China,Saic Motor,Lebanon,2000,Yuan Renminbi,Discovery Series II,Red,1
China,Build Your Dream,Kazakhstan,2011,Yuan Renminbi,Cube,Violet,1
China,Otros,China,1997,Yuan Renminbi,Rodeo,Orange,1
China,Nissan,Mongolia,2004,Yuan Renminbi,Aerio,Aquamarine,1
China,Chirey,Brazil,1997,Yuan Renminbi,7 Series,Mauv,1
China,Tesla,Portugal,1989,Yuan Renminbi,LTD Crown Victoria,Khaki,1
China,Suzuki,China,2011,Yuan Renminbi,Insight,Fuscia,1
China,Nissan,Portugal,1995,Yuan Renminbi,MX-3,Aquamarine,1
China,Build Your Dream,Indonesia,1997,Yuan Renminbi,Sentra,Blue,1
China,General Motors,Philippines,1993,Yuan Renminbi,100,Turquoise,1
China,General Motors,Kazakhstan,2003,Yuan Renminbi,Freestar,Red,1
China,Build Your Dream,Croatia,2011,Yuan Renminbi,Volt,Indigo,1
China,Otros,Brazil,1998,Yuan Renminbi,626,Maroon,1
China,Otros,Saint Vincent and the Grenadines,1995,Yuan Renminbi,Q,Pink,1
China,Saic Motor,Democratic Republic of the Congo,1991,Yuan Renminbi,Bronco,Crimson,1
China,Suzuki,United States,2003,Yuan Renminbi,F250,Teal,1
China,Chirey,Russia,2009,Yuan Renminbi,S60,Fuscia,1
China,Saic Motor,China,2010,Yuan Renminbi,xD,Goldenrod,1
China,Chirey,Republic of the Congo,1985,Yuan Renminbi,Century,Teal,1
China,Tesla,Poland,1992,Yuan Renminbi,D150,Yellow,1
China,General Motors,China,2008,Yuan Renminbi,Fusion,Yellow,1
Germany,Otros,Indonesia,1990,Euro,Continental Mark VII,Khaki,1
China,Build Your Dream,Armenia,2007,Yuan Renminbi,Boxster,Red,1
China,Kia,Portugal,2012,Yuan Renminbi,GT-R,Indigo,1
China,Kia,Peru,2012,Yuan Renminbi,JUKE,Yellow,1
China,Build Your Dream,Panama,2006,Yuan Renminbi,Cayman,Violet,1
China,Kia,Croatia,1991,Yuan Renminbi,Bronco,Puce,1
China,Nissan,Russia,2011,Yuan Renminbi,Express 1500,Mauv,1
China,General Motors,Thailand,2007,Yuan Renminbi,V50,Teal,1
China,Kia,China,1983,Yuan Renminbi,944,Goldenrod,1
China,Saic Motor,Dominican Republic,1986,Yuan Renminbi,Brat,Maroon,1
China,Tesla,Indonesia,2007,Yuan Renminbi,Ram 3500,Teal,1
China,General Motors,Russia,2008,Yuan Renminbi,Magnum,Puce,1
United States,Otros,China,1991,Dollar,Taurus,Puce,1
China,General Motors,Pakistan,2010,Yuan Renminbi,Tahoe,Red,1
China,Build Your Dream,Czech Republic,1987,Yuan Renminbi,Golf,Goldenrod,1
China,Build Your Dream,China,2001,Yuan Renminbi,Venture,Green,1
China,Tesla,Philippines,2011,Yuan Renminbi,CX-7,Puce,1
China,Chirey,United States,1999,Yuan Renminbi,9-3,Crimson,1
China,Nissan,Philippines,1988,Yuan Renminbi,GTI,Aquamarine,1
China,Build Your Dream,Colombia,2003,Yuan Renminbi,Mustang,Fuscia,1
China,General Motors,Philippines,1971,Yuan Renminbi,Camaro,Violet,1
China,Build Your Dream,Indonesia,1996,Yuan Renminbi,Town Car,Violet,1
China,Kia,Ivory Coast,2011,Yuan Renminbi,HS,Puce,1
China,Nissan,Brazil,1984,Yuan Renminbi,Electra,Red,1
United States,Chirey,United States,1986,Dollar,Bronco,Violet,1
China,Suzuki,China,2004,Yuan Renminbi,Carrera GT,Pink,1
United States,Nissan,Honduras,2009,Dollar,GX,Indigo,1
China,Tesla,Bulgaria,2012,Yuan Renminbi,SLS-Class,Pink,1
Germany,Build Your Dream,Philippines,2000,Euro,NSX,Turquoise,1
China,Build Your Dream,Portugal,1995,Yuan Renminbi,Tracker,Teal,1
China,General Motors,Portugal,2010,Yuan Renminbi,F450,Blue,1
China,Otros,Cameroon,1993,Yuan Renminbi,Xtra,Pink,1
China,Suzuki,Philippines,1995,Yuan Renminbi,Ram 2500 Club,Crimson,1
